category,laboratory,momentum,intensity,muon type
Material Science,TRIUMF,0.028,1.90E+06,+
Material Science,TRIUMF,0.028,2.10E+06,+
Material Science,TRIUMF,0.028,1.80E+05,+
Material Science,TRIUMF,0.07,1.40E+06,bkwd +/-
Material Science,PSI,0.3,1.00E+06,+/-
Material Science,PSI,0.17,3.00E+07,+
Material Science,PSI,0.028,3.00E+06,+
Material Science,PSI,0.3,6.00E+07,cloud -
Material Science,J-PARC MUSE,0.028,3.00E+07,+
Material Science,J-PARC MUSE,0.06,1.00E+06,decay +/-
Material Science,J-PARC MUSE,0.028,1.00E+07,+
Material Science,J-PARC MUSE,0.001,1.00E+06,-
Material Science,MuSIC,0.029,1.00E+05,+
Material Science,MuSIC,0.06,2.00E+04,-
Material Science,ISIS RIKEN/RAL muon facility,0.028,1.00E+06,+
Material Science,ISIS RIKEN/RAL muon facility,0.06,4.00E+05,+
Material Science,ISIS RIKEN/RAL muon facility,0.06,6.00E+04,-
Material Science,ISIS RIKEN/RAL muon facility,0.027,1.50E+06,+
Particle Physics,CERN (N),160,1.30E+07,+/-
Particle Physics,CERN (E),12,1.00E+06,+/-
Particle Physics,PSI,0.16,3.30E+06,+/-
Particle Physics,Fermilab,3.1,1.00E+07,+
BDX @ Jefferson Lab,JLab/BDX,0.235,1.00E+08,
BDX @ Jefferson Lab,JLab/BDX,0.030015616,7.20E+06,
BDX @ Jefferson Lab,JLab/BDX,0.090015619,8.50E+06,
BDX @ Jefferson Lab,JLab/BDX,0.150015619,1.10E+07,
BDX @ Jefferson Lab,JLab/BDX,0.210015619,1.10E+07,
BDX @ Jefferson Lab,JLab/BDX,0.27001562,1.10E+07,
BDX @ Jefferson Lab,JLab/BDX,0.33001562,1.10E+07,
BDX @ Jefferson Lab,JLab/BDX,0.39001562,1.10E+07,
BDX @ Jefferson Lab,JLab/BDX,0.45001562,1.10E+07,
BDX @ Jefferson Lab,JLab/BDX,0.51001562,1.00E+07,
BDX @ Jefferson Lab,JLab/BDX,0.57001562,1.00E+07,
BDX @ Jefferson Lab,JLab/BDX,0.63001562,9.90E+06,
BDX @ Jefferson Lab,JLab/BDX,0.69001562,9.60E+06,
BDX @ Jefferson Lab,JLab/BDX,0.75001562,9.40E+06,
BDX @ Jefferson Lab,JLab/BDX,0.81001562,9.20E+06,
BDX @ Jefferson Lab,JLab/BDX,0.87001562,8.90E+06,
BDX @ Jefferson Lab,JLab/BDX,0.93001562,8.60E+06,
BDX @ Jefferson Lab,JLab/BDX,0.99001562,8.40E+06,
BDX @ Jefferson Lab,JLab/BDX,1.05001562,8.00E+06,
BDX @ Jefferson Lab,JLab/BDX,1.11001562,7.70E+06,
BDX @ Jefferson Lab,JLab/BDX,1.17001562,7.50E+06,
BDX @ Jefferson Lab,JLab/BDX,1.23001562,7.20E+06,
BDX @ Jefferson Lab,JLab/BDX,1.29001562,7.00E+06,
BDX @ Jefferson Lab,JLab/BDX,1.35001562,6.70E+06,
BDX @ Jefferson Lab,JLab/BDX,1.41001562,6.40E+06,
BDX @ Jefferson Lab,JLab/BDX,1.47001562,6.30E+06,
BDX @ Jefferson Lab,JLab/BDX,1.53001562,6.10E+06,
BDX @ Jefferson Lab,JLab/BDX,1.59001562,6.00E+06,
BDX @ Jefferson Lab,JLab/BDX,1.65001562,5.70E+06,
BDX @ Jefferson Lab,JLab/BDX,1.71001562,5.50E+06,
BDX @ Jefferson Lab,JLab/BDX,1.77001562,5.40E+06,
BDX @ Jefferson Lab,JLab/BDX,1.83001562,5.30E+06,
BDX @ Jefferson Lab,JLab/BDX,1.89001562,5.00E+06,
BDX @ Jefferson Lab,JLab/BDX,1.95001562,4.90E+06,
BDX @ Jefferson Lab,JLab/BDX,2.01001562,4.70E+06,
BDX @ Jefferson Lab,JLab/BDX,2.07001562,4.40E+06,
BDX @ Jefferson Lab,JLab/BDX,2.13001562,4.20E+06,
BDX @ Jefferson Lab,JLab/BDX,2.19001562,4.00E+06,
BDX @ Jefferson Lab,JLab/BDX,2.25001562,3.90E+06,
BDX @ Jefferson Lab,JLab/BDX,2.31001562,3.70E+06,
BDX @ Jefferson Lab,JLab/BDX,2.37001562,3.60E+06,
BDX @ Jefferson Lab,JLab/BDX,2.43001562,3.40E+06,
BDX @ Jefferson Lab,JLab/BDX,2.49001562,3.30E+06,
BDX @ Jefferson Lab,JLab/BDX,2.55001562,3.20E+06,
BDX @ Jefferson Lab,JLab/BDX,2.61001562,3.00E+06,
BDX @ Jefferson Lab,JLab/BDX,2.67001562,3.00E+06,
BDX @ Jefferson Lab,JLab/BDX,2.73001562,2.80E+06,
BDX @ Jefferson Lab,JLab/BDX,2.79001562,2.70E+06,
BDX @ Jefferson Lab,JLab/BDX,2.85001562,2.50E+06,
BDX @ Jefferson Lab,JLab/BDX,2.91001562,2.40E+06,
BDX @ Jefferson Lab,JLab/BDX,2.97001562,2.30E+06,
BDX @ Jefferson Lab,JLab/BDX,3.03001562,2.20E+06,
BDX @ Jefferson Lab,JLab/BDX,3.09001562,2.10E+06,
BDX @ Jefferson Lab,JLab/BDX,3.15001562,2.00E+06,
BDX @ Jefferson Lab,JLab/BDX,3.21001562,1.90E+06,
BDX @ Jefferson Lab,JLab/BDX,3.27001562,1.80E+06,
BDX @ Jefferson Lab,JLab/BDX,3.33001562,1.70E+06,
BDX @ Jefferson Lab,JLab/BDX,3.39001562,1.60E+06,
BDX @ Jefferson Lab,JLab/BDX,3.45001562,1.50E+06,
BDX @ Jefferson Lab,JLab/BDX,3.51001562,1.40E+06,
BDX @ Jefferson Lab,JLab/BDX,3.57001562,1.30E+06,
BDX @ Jefferson Lab,JLab/BDX,3.63001562,1.20E+06,
BDX @ Jefferson Lab,JLab/BDX,3.69001562,1.10E+06,
BDX @ Jefferson Lab,JLab/BDX,3.75001562,1.10E+06,
BDX @ Jefferson Lab,JLab/BDX,3.81001562,9.90E+05,
BDX @ Jefferson Lab,JLab/BDX,3.87001562,9.40E+05,
BDX @ Jefferson Lab,JLab/BDX,3.93001562,8.50E+05,
BDX @ Jefferson Lab,JLab/BDX,3.99001562,8.00E+05,
BDX @ Jefferson Lab,JLab/BDX,4.05001562,7.30E+05,
BDX @ Jefferson Lab,JLab/BDX,4.11001562,6.80E+05,
BDX @ Jefferson Lab,JLab/BDX,4.17001562,6.20E+05,
BDX @ Jefferson Lab,JLab/BDX,4.23001562,5.60E+05,
BDX @ Jefferson Lab,JLab/BDX,4.29001562,5.10E+05,
BDX @ Jefferson Lab,JLab/BDX,4.35001562,4.80E+05,
BDX @ Jefferson Lab,JLab/BDX,4.41001562,4.10E+05,
BDX @ Jefferson Lab,JLab/BDX,4.47001562,3.90E+05,
BDX @ Jefferson Lab,JLab/BDX,4.53001562,3.50E+05,
BDX @ Jefferson Lab,JLab/BDX,4.59001562,3.10E+05,
BDX @ Jefferson Lab,JLab/BDX,4.65001562,2.70E+05,
BDX @ Jefferson Lab,JLab/BDX,4.71001562,2.50E+05,
BDX @ Jefferson Lab,JLab/BDX,4.77001562,2.10E+05,
BDX @ Jefferson Lab,JLab/BDX,4.83001562,1.80E+05,
BDX @ Jefferson Lab,JLab/BDX,4.89001562,1.50E+05,
BDX @ Jefferson Lab,JLab/BDX,4.95001562,1.30E+05,
BDX @ Jefferson Lab,JLab/BDX,5.01001562,1.20E+05,
BDX @ Jefferson Lab,JLab/BDX,5.07001562,9.90E+04,
BDX @ Jefferson Lab,JLab/BDX,5.13001562,7.70E+04,
BDX @ Jefferson Lab,JLab/BDX,5.19001562,6.50E+04,
BDX @ Jefferson Lab,JLab/BDX,5.25001562,4.90E+04,
BDX @ Jefferson Lab,JLab/BDX,5.31001562,3.70E+04,
BDX @ Jefferson Lab,JLab/BDX,5.37001562,3.10E+04,
BDX @ Jefferson Lab,JLab/BDX,5.43001562,2.10E+04,
BDX @ Jefferson Lab,JLab/BDX,5.49001562,1.40E+04,
BDX @ Jefferson Lab,JLab/BDX,5.55001562,7.80E+03,
BDX @ Jefferson Lab,JLab/BDX,5.61001562,7.00E+03,
BDX @ Jefferson Lab,JLab/BDX,5.67001562,3.10E+03,
BDX @ Jefferson Lab,JLab/BDX,5.73001562,2.00E+03,
BDX @ Jefferson Lab,JLab/BDX,5.79001562,5.90E+02,
BDX @ Jefferson Lab,JLab/BDX,5.85001562,2.40E+02,
BDX @ Jefferson Lab,JLab/BDX,5.91001562,0.00E+00,
BDX @ Jefferson Lab,JLab/BDX,5.97001562,0.00E+00,
